ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"WPML Translation ID","WPML Language Code","Parent Product ID",Sku,Price,"Regular Price","Sale Price","Stock Status",Stock,"External Product URL","Total Sales","Shipping Class","Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL","Product Type","Видимість товару","Категорії товарів","Позначки товарів","Пріоритети перекладу","Product Visibility",Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date",Downloadable,Virtual,"Purchase Note",Featured,Weight,Length,Width,Height,"Sale Price Dates From","Sale Price Dates To","Sold Individually","Manage Stock",Up-Sells,Cross-Sells,"Downloadable Files Paths","Downloadable Files Names","Download Limit","Download Expiry","Download Type","Button Text",Backorders,"Tax Status","Tax Class","Product Image Gallery","Default Attributes","Product Attributes","Product Version","Variation Description","Wc Rating Count","Wc Review Count","Wc Average Rating",Children
18,"3 сири",,"сир вершковий, омлет, сирний соус, гауда, рис, норі, унагі соус","2022-12-16 12:15:02",product,https://dev.yapposushi.com/product/3-syry/,18,uk,0,,119,159.00,119,instock,,,17,,https://dev.yapposushi.com/wp-content/uploads/2022/12/3syry.jpg,3syry,,,3syry,https://dev.yapposushi.com/wp-content/uploads/2022/12/3syry.jpg,,simple,visible,"Запечені Роли|Акції>Рол тижня",,,visible,publish,1,admin,yappo_admin@softgrowth.dev,dsfsdf,sdfsdfsdf,3-syry,,,0,34,closed,closed,"2023-06-05 07:13:28",no,no,,no,290,,,,,,no,no,,,,,-1,-1,,,no,taxable,standard,,,"a:1:{s:6:""weight"";a:6:{s:4:""name"";s:6:""weight"";s:5:""value"";s:3:""290"";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:0;}}",7.4.1,,,0,,
19,"7UP 0,33л",,,"2022-12-16 12:15:02",product,https://dev.yapposushi.com/product/7up-zh-b-033l/,19,uk,0,,25.00,25.00,,instock,,,20,,https://dev.yapposushi.com/wp-content/uploads/2022/12/7up.jpg|https://dev.yapposushi.com/wp-content/uploads/2022/12/севен-ап-330-жб.png,"7up|севен ап 330 жб",|,|,"7UP ж/б 0,33л|7UP ж/б 0,33л",https://dev.yapposushi.com/wp-content/uploads/2022/12/7up.jpg,,simple,visible,Напої,,,visible,publish,1,admin,yappo_admin@softgrowth.dev,dsfsdf,sdfsdfsdf,7up-zh-b-033l,,,0,28,closed,closed,"2023-06-05 12:24:27",no,no,,no,330,,,,,,no,no,,,,,-1,-1,,,no,taxable,standard,,,"a:1:{s:6:""weight"";a:6:{s:4:""name"";s:6:""weight"";s:5:""value"";s:3:""330"";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:0;}}",7.4.1,,,0,,
21,YAPPO,,"краб-крем, омлет, Yappo соус, унагі соус, рис, норі, кунжут","2022-12-16 12:15:03",product,https://dev.yapposushi.com/product/yappo/,21,uk,0,,99.00,99.00,,instock,,,43,,https://dev.yapposushi.com/wp-content/uploads/2022/12/Yappo-1.jpg,Yappo,,,Yappo,https://dev.yapposushi.com/wp-content/uploads/2022/12/Yappo-1.jpg,,simple,visible,"Запечені Роли",,,visible,publish,1,admin,yappo_admin@softgrowth.dev,dsfsdf,sdfsdfsdf,yappo,,,0,84,closed,closed,"2023-04-04 11:30:22",no,no,,no,192,,,,,,no,no,,,,,-1,-1,,,no,taxable,standard,,,"a:1:{s:6:""weight"";a:6:{s:4:""name"";s:6:""weight"";s:5:""value"";s:3:""192"";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:0;}}",7.4.1,,,0,,
23,"YAPPO з вугрем",,"краб-крем, вугор, Yappo соус, рис, норі, унагі соус, кунжут","2022-12-16 12:15:03",product,https://dev.yapposushi.com/product/yappo-z-vugrem/,23,uk,0,,169.00,169.00,,instock,,,22,,https://dev.yapposushi.com/wp-content/uploads/2022/12/Yappo_z_krevetkoi.jpg,Yappo_z_krevetkoi,,,Yappo_z_krevetkoi,https://dev.yapposushi.com/wp-content/uploads/2022/12/Yappo_z_krevetkoi.jpg,,simple,visible,"Запечені Роли",,,visible,publish,1,admin,yappo_admin@softgrowth.dev,dsfsdf,sdfsdfsdf,yappo-z-vugrem,,,0,87,closed,closed,"2023-04-04 11:30:22",no,no,,no,192,,,,,,no,no,,,,,-1,-1,,,no,taxable,standard,,,"a:1:{s:6:""weight"";a:6:{s:4:""name"";s:6:""weight"";s:5:""value"";s:3:""192"";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:0;}}",7.4.1,,,0,,
24,"YAPPO з креветками",,"креветка, сир вершковий,  які соус, рис, норі, унагі соус, кунжут","2022-12-16 12:15:03",product,https://dev.yapposushi.com/product/yappo-z-krevetkoyu/,24,uk,0,,159.00,159.00,,instock,,,33,,https://dev.yapposushi.com/wp-content/uploads/2022/12/Yappo_z_krevetkoi.jpg,Yappo_z_krevetkoi,,,Yappo_z_krevetkoi,https://dev.yapposushi.com/wp-content/uploads/2022/12/Yappo_z_krevetkoi.jpg,,simple,visible,"Запечені Роли",,,visible,publish,1,admin,yappo_admin@softgrowth.dev,dsfsdf,sdfsdfsdf,yappo-z-krevetkoyu,,,0,86,closed,closed,"2023-05-11 08:25:25",no,no,,no,192,,,,,,no,no,,,,,-1,-1,,,no,taxable,standard,,,"a:1:{s:6:""weight"";a:6:{s:4:""name"";s:6:""weight"";s:5:""value"";s:3:""192"";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:0;}}",7.4.1,,,0,,
25,"YAPPO набір",,"Філадельфія блек, Каліфорнія в ікрі, Мідія Хот міні рол, Yappo рол","2022-12-16 12:15:03",product,https://dev.yapposushi.com/product/yappo-nabir/,25,uk,0,,449.00,449.00,,instock,,,1505,,https://dev.yapposushi.com/wp-content/uploads/2022/12/yappo_nabir.jpg,yappo_nabir,,,"YAPPO набір",https://dev.yapposushi.com/wp-content/uploads/2022/12/yappo_nabir.jpg,,simple,visible,Набори,,,visible,publish,1,admin,yappo_admin@softgrowth.dev,dsfsdf,sdfsdfsdf,yappo-nabir,,,0,29,closed,closed,"2023-05-09 17:55:17",no,no,,no,814,,,,,,no,no,,,,,-1,-1,,,no,taxable,standard,,,"a:1:{s:6:""weight"";a:6:{s:4:""name"";s:6:""weight"";s:5:""value"";s:3:""814"";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:0;}}",7.4.1,,,0,,
26,"Авокадо міні рол",,"авокадо, рис, норі","2022-12-16 12:15:03",product,https://dev.yapposushi.com/product/avokado-mini-rol/,26,uk,0,,79.00,79.00,,instock,,,14,,https://dev.yapposushi.com/wp-content/uploads/2022/12/Авокадо-міні-рол.png,"Авокадо міні рол",,,"Авокадо міні рол",https://dev.yapposushi.com/wp-content/uploads/2022/12/Авокадо-міні-рол.png,,simple,visible,"Холодні Роли",,,visible,publish,1,admin,yappo_admin@softgrowth.dev,dsfsdf,sdfsdfsdf,avokado-mini-rol,,,0,133,closed,closed,"2023-06-05 11:21:21",no,no,,no,110,,,,,,no,no,,,,,-1,-1,,,no,taxable,standard,,,"a:1:{s:6:""weight"";a:6:{s:4:""name"";s:6:""weight"";s:5:""value"";s:3:""110"";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:0;}}",7.4.1,,,0,,
27,Бінго,,"Філідельфія в ікрі, Дежавю,  Фелікс креветка, Маямі","2022-12-16 12:20:03",product,https://dev.yapposushi.com/product/bingo/,27,uk,0,,529.00,529.00,,instock,,,34,,https://dev.yapposushi.com/wp-content/uploads/2022/12/bingo_nabir.jpg,bingo_nabir,,,"Набір Бінго",https://dev.yapposushi.com/wp-content/uploads/2022/12/bingo_nabir.jpg,,simple,visible,Набори,,,visible,publish,1,admin,yappo_admin@softgrowth.dev,dsfsdf,sdfsdfsdf,bingo,,,0,25,closed,closed,"2023-04-04 11:30:21",no,no,,yes,914,,,,,,no,no,,,,,-1,-1,,,no,taxable,standard,,,"a:1:{s:6:""weight"";a:6:{s:4:""name"";s:6:""weight"";s:5:""value"";s:3:""914"";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:0;}}",7.4.1,,,0,,
28,"Вітамінний салат",,"капуста, морква, селера, яблуко, заправка до салату, кунжут","2022-12-16 12:15:03",product,https://dev.yapposushi.com/product/vitaminnyj-salat/,28,uk,0,,59.00,59.00,,instock,,,19,,https://dev.yapposushi.com/wp-content/uploads/2022/12/vitaminuy.jpg,vitaminuy,,,"Вітамінний салат",https://dev.yapposushi.com/wp-content/uploads/2022/12/vitaminuy.jpg,,simple,visible,Салати,,,visible,publish,1,admin,yappo_admin@softgrowth.dev,dsfsdf,sdfsdfsdf,vitaminnyj-salat,,,0,132,closed,closed,"2023-04-04 11:30:22",no,no,,no,192,,,,,,no,no,,,,,-1,-1,,,no,taxable,standard,,,"a:1:{s:6:""weight"";a:6:{s:4:""name"";s:6:""weight"";s:5:""value"";s:3:""192"";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:0;}}",7.4.1,,,0,,
29,Вегетаріанський,,"авокадо, огірок, салат айсберг, перець болгарський, чука, рис, норі","2022-12-16 12:15:03",product,https://dev.yapposushi.com/product/vegetarianskyj/,29,uk,0,,99.00,99.00,,instock,,,16,,https://dev.yapposushi.com/wp-content/uploads/2022/12/Вегетаріанський-2.png,Вегетаріанський,,,"Вегетаріанський рол",https://dev.yapposushi.com/wp-content/uploads/2022/12/Вегетаріанський-2.png,,simple,visible,"Холодні Роли",,,visible,publish,1,admin,yappo_admin@softgrowth.dev,dsfsdf,sdfsdfsdf,vegetarianskyj,,,0,120,closed,closed,"2023-06-05 11:12:49",no,no,,no,220,,,,,,no,no,,,,,-1,-1,,,no,taxable,standard,,,"a:1:{s:6:""weight"";a:6:{s:4:""name"";s:6:""weight"";s:5:""value"";s:3:""220"";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:0;}}",7.4.1,,,0,,
