"Term ID","Term Permalink","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured"
15,https://dev.yapposushi.com/product-category/bez-kategoriyi/,"Без категорії",bez-kategoriyi,,0,,,3,,,,,,
16,https://dev.yapposushi.com/product-category/coffee/,Кофе,coffee,,0,,,0,,,,,,
17,https://dev.yapposushi.com/product-category/bakery/,Випічка,bakery,,0,,,0,,,,,,
19,https://dev.yapposushi.com/product-category/top-screen/,"Top screen",top-screen,,0,,,0,https://dev.yapposushi.com/wp-content/uploads/2022/12/севен-ап-330-жб.png|https://dev.yapposushi.com/wp-content/uploads/2022/12/7up.jpg,"севен ап 330 жб|7up",|,|,|,
20,https://dev.yapposushi.com/product-category/cold_rolls/,"Холодні Роли",cold_rolls,,0,,,39,,,,,,
21,https://dev.yapposushi.com/product-category/hot_rolls/,"Запечені Роли",hot_rolls,,0,,,17,https://dev.yapposushi.com/wp-content/uploads/2022/12/Yappo-1.jpg,Yappo,,,,
22,https://dev.yapposushi.com/product-category/other/,Набори,other,,0,,,17,,,,,,
23,https://dev.yapposushi.com/product-category/sale/,Акції,sale,,0,,,3,https://dev.yapposushi.com/wp-content/uploads/2023/06/fire.svg|https://dev.yapposushi.com/wp-content/uploads/2022/12/Yappo_z_krevetkoi.jpg,fire|Yappo_z_krevetkoi,|,|,|,
24,https://dev.yapposushi.com/product-category/wok/,Воки,wok,,0,,,9,,,,,,
25,https://dev.yapposushi.com/product-category/soup/,Супи,soup,,0,,,9,https://dev.yapposushi.com/wp-content/uploads/2022/12/yappo_nabir.jpg,yappo_nabir,,,,
26,https://dev.yapposushi.com/product-category/business_lanch/,"Бізнес Ланчі",business_lanch,,0,,,6,https://dev.yapposushi.com/wp-content/uploads/2022/12/Авокадо-міні-рол.png,"Авокадо міні рол",,,,
27,https://dev.yapposushi.com/product-category/salad/,Салати,salad,,0,,,4,https://dev.yapposushi.com/wp-content/uploads/2022/12/bingo_nabir.jpg,bingo_nabir,,,,
28,https://dev.yapposushi.com/product-category/dessert/,Десерти,dessert,,0,,,4,https://dev.yapposushi.com/wp-content/uploads/2022/12/vitaminuy.jpg,vitaminuy,,,,
29,https://dev.yapposushi.com/product-category/sushi/,Суші,sushi,,0,,,9,https://dev.yapposushi.com/wp-content/uploads/2022/12/Вегетаріанський-2.png,Вегетаріанський,,,,
30,https://dev.yapposushi.com/product-category/drink/,Напої,drink,,0,,,11,https://dev.yapposushi.com/wp-content/uploads/2022/12/vegetarian_nabir.jpg,vegetarian_nabir,,,,
31,https://dev.yapposushi.com/product-category/sale/fish-day/,"Рибні дні",fish-day,,23,Акції,sale,2,https://dev.yapposushi.com/wp-content/uploads/2023/03/рибні_дні_745.png|https://dev.yapposushi.com/wp-content/uploads/2022/12/sup_vershkoviy_z_lososem.jpg,рибні_дні_745|sup_vershkoviy_z_lososem,|,|,|,
32,https://dev.yapposushi.com/product-category/sale/month-set/,"Сет місяця",month-set,,23,Акції,sale,1,https://dev.yapposushi.com/wp-content/uploads/2023/05/549_setmisyaczya_746h447.png|https://dev.yapposushi.com/wp-content/uploads/2022/12/veselavechirka_nabir.jpg,549_сетмісяця_746х447|veselavechirka_nabir,|,|,|,
36,https://dev.yapposushi.com/product-category/additional/,Додатково,additional,,0,,,3,https://dev.yapposushi.com/wp-content/uploads/2022/12/Вугор-міні-рол.png,"Вугор міні рол",,,,
38,https://dev.yapposushi.com/product-category/additionals/,Додатки,additionals,,0,,,0,https://dev.yapposushi.com/wp-content/uploads/2022/12/grand_nabir.jpg,grand_nabir,,,,
42,https://dev.yapposushi.com/product-category/sale/roll-philadelphia-black/,"Рол Філадельфія блек",roll-philadelphia-black,,23,Акції,sale,1,https://dev.yapposushi.com/wp-content/uploads/2023/03/др_7455х4473.png|https://dev.yapposushi.com/wp-content/uploads/2022/12/tropik-2.jpg|https://dev.yapposushi.com/wp-content/uploads/2022/12/ekzotik-1.jpg,"др_745,5х447,3|tropik|ekzotik",||,||,||,
44,https://dev.yapposushi.com/product-category/sale/rol-tyzhnia/,"Рол тижня",rol-tyzhnia,,23,Акції,sale,1,https://dev.yapposushi.com/wp-content/uploads/2023/04/rol_filadelfiya_7455_stroke.png|https://dev.yapposushi.com/wp-content/uploads/2022/12/Зелений-Дракон.png,"рол_філадельфія_745,5_stroke|Зелений Дракон",|,|,|,
